"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Application","Application_specific","Mode","Tribopositive","Tribonegative","Electrode","Open_circuit_voltage","Short_circuit_current","Power_density","Current_density","Charge_density","Thickness","Area","Operating_frequency"
"Yang Dong","2025/08/22","Enhancing the Output Performance of Tubular Gas-Liquid Mixing Triboelectric Nanogenerator by Bulk Effect","https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202510787","10.1002/advs.202510787","energy harvester","use of energy from water/fluid","contact-separation","","","copper","1800 V","112 µA","18.67 kW m−3","","","","",""
"Shiwei Xu","2025/11/19","Modulus Matching and Interface Enhancement: A Synergistic Strategy for Antidelamination High-Performance Stretchable Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202518027","10.1002/advs.202518027","sensor","tactile/motion sensor","contact-separation","","PVC","CNT","","","31 mW m−2","","","","","4 Hz"
"Yaxing Zhu","2018/08/07","Coaxial Hybrid Triboelectric Nanogenerator for Scavenging Multidirectional Mechanical Energy","https://onlinelibrary.wiley.com/doi/full/10.1002/aelm.201800161","10.1002/aelm.201800161","energy harvester","use of energy from motion","contact-separation","","","Al","150 V","145 nA","","","","","","4 Hz"
"Zhipeng Chen","2019/01/15","Magnetization-Induced Self-Assembling of Bendable Microneedle Arrays for Triboelectric Nanogenerators","https://onlinelibrary.wiley.com/doi/full/10.1002/aelm.201800785","10.1002/aelm.201800785","energy harvester","","","","PDMS","Al","9 V","30 µA","","1.37 µA cm−2","","","","1.5 Hz"
"Changsheng Wu","2019/10/01","Sunlight-Triggerable Transient Energy Harvester and Sensors Based on Triboelectric Nanogenerator Using Acid-Sensitive Poly(phthalaldehyde)","https://onlinelibrary.wiley.com/doi/full/10.1002/aelm.201900725","10.1002/aelm.201900725","energy harvester","use of energy from sound","contact-separation","nylon","polytetrafluoroethylene","","","","28.4 µW cm−2","","","","","5000 Hz"
"Yiming Liu","2019/11/26","Thin, Skin-Integrated, Stretchable Triboelectric Nanogenerators for Tactile Sensing","https://onlinelibrary.wiley.com/doi/full/10.1002/aelm.201901174","10.1002/aelm.201901174","sensor","tactile/motion sensor","","human skin","PDMS","copper","5.76 V","100 nA","","","","","","5 Hz"
"Rafi u Shan Ahmad","2020/04/13","Realizing the Capability of Negatively Charged Graphene Oxide in the Presence of Conducting Polyaniline for Performance Enhancement of Tribopositive Material of Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/aelm.202000034","10.1002/aelm.202000034","energy harvester","use of energy from water/fluid","","","PDMS","nickel","364.05 V","","93 mW cm−2","43.02 mA m−2","","","1 cm × 2 cm","5 Hz"
"Taegoon Lee","2021/10/08","Flexible Hybrid Nanogenerator for Self-Powered Weather and Healthcare Monitoring Sensor","https://onlinelibrary.wiley.com/doi/full/10.1002/aelm.202100785","10.1002/aelm.202100785","sensor","tactile/motion sensor","","","FEP","indium tin oxide","1.4 V","132 nA","","","","","",""
"Jin Yang","2013/11/27","Broadband Vibrational Energy Harvesting Based on a Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201301322","10.1002/aenm.201301322","energy harvester","use of energy from motion","contact-separation","aluminum","","copper","123 V","30 mA","","","","","","75 Hz"
"Weiming Du","2014/04/09","A Three Dimensional Multi-Layered Sliding Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201301592","10.1002/aenm.201301592","sensor","","lateral sliding","aluminum","polyvinyl chloride","","2663.4 V","5.5 mA","","","","","35 mm × 15 mm",""
"Xiaofeng Wang","2015/11/05","Triboelectric Nanogenerator Based on Fully Enclosed Rolling Spherical Structure for Harvesting Low-Frequency Water Wave Energy","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201501467","10.1002/aenm.201501467","energy harvester","use of energy from water/fluid","freestanding","aluminum","polytetrafluoroethylene","Al","","","","","","","15 cm2","1.55 Hz"
"Zuci Quan","2015/12/12","Robust Thin Films-Based Triboelectric Nanogenerator Arrays for Harvesting Bidirectional Wind Energy","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201501799","10.1002/aenm.201501799","energy harvester","use of energy from wind","contact-separation","","Kapton","Al","600.3 V","67 μA","","","6 C m−2","","",""
"Wei Xu","2016/09/16","Environmentally Friendly Hydrogel-Based Triboelectric Nanogenerators for Versatile Energy Harvesting and Self-Powered Sensors","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201601529","10.1002/aenm.201601529","energy harvester","use of energy from water/fluid","contact-separation","","PDMS","nickel","236 V","20.7 μA","","","","","",""
"Abdelsalam Ahmed","2016/12/08","Self-Powered Wireless Sensor Node Enabled by a Duck-Shaped Triboelectric Nanogenerator for Harvesting Water Wave Energy","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201601705","10.1002/aenm.201601705","energy harvester","use of energy from water/fluid","freestanding","","","","325 V","65.5 µA","1.366 W m−2","","","","","1.127 Hz"
"Yi Xi","2017/02/17","Multifunctional TENG for Blue Energy Scavenging and Self-Powered Wind-Speed Sensor","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201602397","10.1002/aenm.201602397","sensor","","freestanding","","FEP","","490 V","1.8 µA","","","","","",""
"Shengming Li","2017/02/17","Sustainable Energy Source for Wearable Electronics Based on Multilayer Elastomeric Triboelectric Nanogenerators","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201602832","10.1002/aenm.201602832","energy harvester","use of energy from water/fluid","contact-separation","","","","50 V","","0.1 W m−2","","140 µC m−2","","","0.5 Hz"
"Xi Liu","2017/09/01","Unity Convoluted Design of Solid Li-Ion Battery and Triboelectric Nanogenerator for Self-Powered Wearable Electronics","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201701629","10.1002/aenm.201701629","sensor","tactile/motion sensor","","","FEP","Al","188 V","33.5 µA","","","","","","28.3 Hz"
"Minyi Xu","2017/12/18","A Soft and Robust Spring Based Triboelectric Nanogenerator for Harvesting Arbitrary Directional Vibration Energy and Self-Powered Vibration Sensing","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201702432","10.1002/aenm.201702432","energy harvester","use of energy from wind","contact-separation","","silicone rubber","carbon","","","240 mW m−2","","","","3 cm × 3 cm","16 Hz"
"Guanlin Liu","2018/01/26","Wireless Electric Energy Transmission through Various Isolated Solid Media Based on Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201703086","10.1002/aenm.201703086","","","freestanding","aluminum","","","18.8 V","4.78 µA","","","","electrode 3 mm ","","99 Hz"
"Yang Jie","2018/01/26","Natural Leaf Made Triboelectric Nanogenerator for Harvesting Environmental Mechanical Energy","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201703133","10.1002/aenm.201703133","energy harvester","use of energy from motion","single-electrode","","","","230 V","9.5 µA","45 mW m−2","","","","8×8 cm2","2 Hz"
"Weon-Guk Kim","2018/04/26","Multidirection and Multiamplitude Triboelectric Nanogenerator Composed of Porous Conductive Polymer with Prolonged Time of Current Generation","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201800654","10.1002/aenm.201800654","energy harvester","use of energy from water/fluid","","","polytetrafluoroethylene","Al","5 V","80 nA","","","60 mC m−3","","3 cm × 20 cm",""
"Xiaoyi Li","2018/05/04","Networks of High Performance Triboelectric Nanogenerators Based on Liquid–Solid Interface Contact Electrification for Harvesting Low-Frequency Blue Energy","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201800705","10.1002/aenm.201800705","energy harvester","use of energy from water/fluid","lateral sliding","","Kapton","copper","120 V","3 µA","","","","","","2 Hz"
"Kai Dong","2018/06/14","Versatile Core–Sheath Yarn for Sustainable Biomechanical Energy Harvesting and Real-Time Human-Interactive Sensing","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201801114","10.1002/aenm.201801114","energy harvester","use of energy from motion","contact-separation","","silicone rubber","copper","19 V","0.43 µA","","","","","","3 Hz"
"Jing Wen","2018/09/10","Harsh-Environmental-Resistant Triboelectric Nanogenerator and Its Applications in Autodrive Safety Warning","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201801898","10.1002/aenm.201801898","","","freestanding","","PDMS","copper","221 V","2.7 µA","","27.9 µA cm−2","33.4 µC cm−2","","","1 Hz"
"Jiyu Wang","2019/01/02","Rational Structure Optimized Hybrid Nanogenerator for Highly Efficient Water Wave Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201802892","10.1002/aenm.201802892","energy harvester","use of energy from water/fluid","","","","Cu","400 V","15.3 µA","","","","","","1 Hz"
"Sandip Maiti","2019/01/24","Nature Driven Bio-Piezoelectric/Triboelectric Nanogenerator as Next-Generation Green Energy Harvester for Smart and Pollution Free Society","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201803027","10.1002/aenm.201803027","energy harvester","use of energy from water/fluid","","cellulose","polyvinylidene fluoride","Au","1000 V","0.6 µA","500 mW m−2","8 mA m−2","8.1 µC m−2","","2.5 cm2","106 Hz"
"Lingyun Wang","2018/12/13","Highly Flexible and Transparent Polyionic-Skin Triboelectric Nanogenerator for Biomechanical Motion Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201803183","10.1002/aenm.201803183","energy harvester","use of energy from motion","","aluminum","PVC","indium tin oxide","90 V","5.11 µA","963.76 mW m−2","30.2 mA m−2","","","2×2 cm2","0.5 Hz"
"Hee Jae Hwang","2019/03/08","An Ultra-Mechanosensitive Visco-Poroelastic Polymer Ion Pump for Continuous Self-Powering Kinematic Triboelectric Nanogenerators","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201803786","10.1002/aenm.201803786","sensor","tactile/motion sensor","","","","Al","600 V","","6.1 W m−2","25 mA m−2","","","","60 Hz"
"Guanlin Liu","2019/05/27","Oblate Spheroidal Triboelectric Nanogenerator for All-Weather Blue Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201900801","10.1002/aenm.201900801","energy harvester","use of energy from water/fluid","","","FEP","copper","281 V","76 µA","","","","","",""
"Hongmei Yang","2019/07/25","A Nonencapsulative Pendulum-Like Paper–Based Hybrid Nanogenerator for Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201901149","10.1002/aenm.201901149","energy harvester","use of energy from water/fluid","contact-separation","","","","695 V","41.3 µA","","","","","","1 Hz"
"Xiu Xiao","2019/09/08","Honeycomb Structure Inspired Triboelectric Nanogenerator for Highly Effective Vibration Energy Harvesting and Self-Powered Engine Condition Monitoring","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201902460","10.1002/aenm.201902460","energy harvester","use of energy from motion","freestanding","","","copper","98 V","2 µA","","","","","","33 Hz"
"Lingxiao Gao","2019/10/15","Enhancing the Output Performance of Triboelectric Nanogenerator via Grating-Electrode-Enabled Surface Plasmon Excitation","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201902725","10.1002/aenm.201902725","sensor","tactile/motion sensor","contact-separation","aluminum","polydimethylsiloxane","","1.6 V","110 µA","100 mW cm−2","","","","",""
"Hongfa Zhao","2019/11/14","Dual-Tube Helmholtz Resonator-Based Triboelectric Nanogenerator for Highly Efficient Harvesting of Acoustic Energy","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.201902824","10.1002/aenm.201902824","energy harvester","use of energy from sound","","aluminum","FEP","aluminum","141 V","34 µA","","","","","","80 Hz"
"Tao Jiang","2020/05/04","Robust Swing-Structured Triboelectric Nanogenerator for Efficient Blue Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.202000064","10.1002/aenm.202000064","energy harvester","use of energy from water/fluid","freestanding","","","copper","","","144.3 mW m−3","","","","","0.8 Hz"
"Kequan Xia","2020/06/09","Multiple-Frequency High-Output Triboelectric Nanogenerator Based on a Water Balloon for All-Weather Water Wave Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.202000426","10.1002/aenm.202000426","energy harvester","use of energy from water/fluid","contact-separation","nylon","PVC","","1238.4 V","147 µA","13.52 W m−3","","","","","1 Hz"
"Yu Bai","2020/04/16","Charge Pumping Strategy for Rotation and Sliding Type Triboelectric Nanogenerators","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.202000605","10.1002/aenm.202000605","energy harvester","","","","","Cu","740 V","25.0 µA","1.66 kW m−3","","","","","2 Hz"
"Hong-Joon Yoon","2020/05/17","Microdischarge-Based Direct Current Triboelectric Nanogenerator via Accumulation of Triboelectric Charge in Atmospheric Condition","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.202000730","10.1002/aenm.202000730","energy harvester","","freestanding","melamine formaldehyde","polytetrafluoroethylene","silver","","0.197 mA","10.6 W m−2","10.5 mA m−2","","","",""
"Jihye Kim","2020/10/07","Ultrahigh Power Output from Triboelectric Nanogenerator Based on Serrated Electrode via Spark Discharge","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.202002312","10.1002/aenm.202002312","","","single-electrode","","silicone rubber","Al","5 kV","","","2 A m−2","","","10×10 cm2",""
"Linglin Zhou","2020/10/16","Simultaneously Enhancing Power Density and Durability of Sliding-Mode Triboelectric Nanogenerator via Interface Liquid Lubrication","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.202002920","10.1002/aenm.202002920","energy harvester","use of energy from motion","freestanding","","Kapton","copper","","","3.45 W m−2","","50 µC m−2","tribonegative layer 25 µm ","","1.5 Hz"
"Kwan-Woo Han","2020/11/16","Long-Lasting and Steady Triboelectric Energy Harvesting from Low-Frequency Irregular Motions Using Escapement Mechanism","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.202002929","10.1002/aenm.202002929","energy harvester","use of energy from motion","","nylon","polydimethylsiloxane","Al","320 V","","41 mW m−2","1.3 µA m−2","2.84 µC m−2","","","0.067 Hz"
"Pengfei Chen","2021/01/15","Super-Durable, Low-Wear, and High-Performance Fur-Brush Triboelectric Nanogenerator for Wind and Water Energy Harvesting for Smart Agriculture","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.202003066","10.1002/aenm.202003066","energy harvester","use of energy from wind","freestanding","fur","","","","46.6 µA","2.40 W m−2","","","","",""
"Chuguo Zhang","2021/02/15","Bifilar-Pendulum-Assisted Multilayer-Structured Triboelectric Nanogenerators for Wave Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.202003616","10.1002/aenm.202003616","energy harvester","use of energy from motion","","","FEP","copper","400 V","120 µA","200 W m−3","","213 µC m−2","","75 cm2",""
"Hao Wu","2021/03/11","Multi-Mode Water-Tube-Based Triboelectric Nanogenerator Designed for Low-Frequency Energy Harvesting with Ultrahigh Volumetric Charge Density","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.202100038","10.1002/aenm.202100038","energy harvester","use of energy from water/fluid","","","FEP","Cu","","","13.1 W m−3","","9 mC m−3","","","0.1 Hz"
"Shun Yong","2021/06/09","Auto-Switching Self-Powered System for Efficient Broad-Band Wind Energy Harvesting Based on Dual-Rotation Shaft Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.202101194","10.1002/aenm.202101194","energy harvester","use of energy from wind","single-electrode","aluminum","FEP","copper","306 V","44.3 µA","","","","","0.014 m2",""
